units that have a private room	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-has_private_room
show me recipes requiring an ingredient from e0	SW.filter entity-en.recipe string-requires string-= ( SW.filter entity-en.ingredient SW.reverse string-requires string-= e0 )
what recipes preparation time is lesser than the cooking time of e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-preparation_time  string-< ( SW.ensureNumericEntity SW.getProperty e0 string-cooking_time  )
show me ingredients required by recipes posted in d0	SW.filter entity-en.ingredient SW.reverse string-requires string-= ( SW.filter entity-en.recipe string-posting_date string-= d0 )
what recipes require one or two ingredients	SW.countComparative entity-en.recipe string-requires string-<= number2 entity-en.ingredient
which recipe was posted at the posting date of e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-posting_date  string-<= ( SW.ensureNumericEntity SW.getProperty e0 string-posting_date  )
what meal is e0 not used for	SW.filter entity-en.meal SW.reverse string-meal string-!= e0
what recipes have the same cooking time as e0	SW.filter entity-en.recipe string-cooking_time string-= SW.getProperty e0 string-cooking_time
which  recipe takes as much time to prepare as e0	SW.filter entity-en.recipe string-preparation_time string-= SW.getProperty e0 string-preparation_time
find the e0 recipes posted in d1	SW.filter ( SW.filter entity-en.recipe string-posting_date string-= d1 ) string-meal string-= e0
find a recipe that needs e0 for its preparation	SW.filter ( SW.filter entity-en.recipe string-requires string-= e0 ) string-requires string-= e0
show me recipes that use two ingredients or less	SW.countComparative entity-en.recipe string-requires string-<= number2 entity-en.ingredient
show me recipes with preparation times longer than cooking time of e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-preparation_time  string-> ( SW.ensureNumericEntity SW.getProperty e0 string-cooking_time  )
recipe with only one ingredient	SW.countComparative entity-en.recipe string-requires string-< number2 entity-en.ingredient
show me recipes with fewer than two cuisines	SW.countComparative entity-en.recipe string-cuisine string-< number2
how long does the recipe take to prepare	string-sum SW.getProperty entity-en.recipe string-preparation_time
what meal is e0 or e1 in	SW.filter entity-en.meal SW.reverse string-meal string-= SW.concat
show me recipes requiring the ingredient e0	SW.filter entity-en.ingredient SW.reverse string-requires string-= ( SW.filter entity-en.recipe string-requires string-= e0 )
show me recipes not posted in d0	SW.filter entity-en.recipe string-posting_date string-!= d0
show me the ingredients for e0	SW.filter entity-en.ingredient SW.reverse string-requires string-= e0
which recipe takes less time to prepare than e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-cooking_time  string-< ( SW.ensureNumericEntity SW.getProperty e0 string-cooking_time  )
what recipe calling for e0 was posted in d1	SW.filter ( SW.filter entity-en.recipe string-posting_date string-= d1 ) string-requires string-= e0
for what meals share two or more recipes	SW.countComparative entity-en.meal SW.reverse string-meal string-> number2 entity-en.recipe
show me recipes for e0 posted in d1	SW.filter ( SW.filter entity-en.recipe string-meal string-= e0 ) string-posting_date string-= d1
what ingredients are used only for e0	SW.filter entity-en.ingredient SW.reverse string-requires string-= ( SW.filter entity-en.recipe string-meal string-= e0 )
what recipes posting date is at the greatest in d0	SW.filter entity-en.recipe SW.ensureNumericProperty string-posting_date  string-<= ( SW.ensureNumericEntity d0 )
show me recipes posted the same day as e0 or before	SW.filter entity-en.recipe SW.ensureNumericProperty string-posting_date  string-<= ( SW.ensureNumericEntity SW.getProperty e0 string-posting_date  )
show me recipes posted in d0 requiring e0	SW.filter ( SW.filter entity-en.recipe string-posting_date string-= d0 ) string-requires string-= e0
what recipe has a cuisine including e0	SW.filter entity-en.recipe string-cuisine string-= SW.getProperty e0 string-cuisine
show me the most required ingredient in recipes	SW.countSuperlative entity-en.ingredient string-max SW.reverse string-requires entity-en.recipe
show me recipes with the longest cooking time	SW.superlative entity-en.recipe string-max SW.ensureNumericProperty string-cooking_time
show me recipes that were posted later than d0	SW.filter entity-en.meal SW.reverse string-meal string-= ( SW.filter entity-en.recipe string-posting_date string-= d0 )
what recipes need e0 or e1	SW.concat
what is a recipe that was not posted in d0	SW.filter entity-en.recipe string-posting_date string-!= d0
show me meals with two recipes	SW.countComparative entity-en.meal SW.reverse string-meal string-= number2 entity-en.recipe
which meal has less than two recipes	SW.countComparative entity-en.meal SW.reverse string-meal string-< number2 entity-en.recipe
which recipe takes longer to cook than e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-cooking_time  string-> ( SW.ensureNumericEntity SW.getProperty e0 string-cooking_time  )
show me meals with two or fewer recipes	SW.countComparative entity-en.meal SW.reverse string-meal string-<= number2 entity-en.recipe
which recipes take as long as prepare e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-cooking_time  string-<= ( SW.ensureNumericEntity SW.getProperty e0 string-preparation_time  )
show me recipes that work for more than one meal	SW.countSuperlative entity-en.recipe string-min string-meal entity-en.meal
what recipe takes equal or less time to cook than e0 takes to prep	SW.filter entity-en.recipe SW.ensureNumericProperty string-cooking_time  string-<= ( SW.ensureNumericEntity SW.getProperty e0 string-preparation_time  )
whats the average preparation time of a recipe	string-avg SW.getProperty entity-en.recipe string-preparation_time
how many recipes use more than two ingredients	SW.countComparative entity-en.recipe string-requires string-> number2 entity-en.ingredient
what recipes cooking time is lower than the preparation time of e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-cooking_time  string-< ( SW.ensureNumericEntity SW.getProperty e0 string-preparation_time  )
what recipe calls for either e0 or e1	SW.filter entity-en.recipe string-requires string-= SW.concat
which recipe was posted during d0	SW.filter entity-en.recipe SW.ensureNumericProperty string-posting_date  string-<= ( SW.ensureNumericEntity d0 )
what meal has over two recipes	SW.countComparative entity-en.meal SW.reverse string-meal string-> number2 entity-en.recipe
which recipes take longer to cook than e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-preparation_time  string-> ( SW.ensureNumericEntity SW.getProperty e0 string-cooking_time  )
show me recipes posted the same day as e0 or after	SW.filter entity-en.recipe SW.ensureNumericProperty string-posting_date  string->= ( SW.ensureNumericEntity SW.getProperty e0 string-posting_date  )
show me recipes for e0 or e1	SW.concat
what is a recipe that is for more than two different meals	SW.countComparative entity-en.recipe string-meal string-> number2 entity-en.meal
find recipes posted before d0	SW.filter entity-en.recipe SW.ensureNumericProperty string-posting_date  string-< ( SW.ensureNumericEntity d0 )
a recipe requiring fewer than two ingredients	SW.countComparative entity-en.recipe string-requires string-< number2 entity-en.ingredient
what ingredient is required in only one recipe	SW.countComparative entity-en.ingredient SW.reverse string-requires string-< number2 entity-en.recipe
what ingredient is most used	SW.countSuperlative entity-en.ingredient string-max SW.reverse string-requires entity-en.recipe
show me recipes good for at least two meals	SW.countComparative entity-en.recipe string-meal string->= number2 entity-en.meal
show me recipes posted in d0	SW.filter entity-en.recipe string-posting_date string-= d0
show me recipes for fewer than two meals	SW.countComparative entity-en.recipe string-meal string-< number2 entity-en.meal
what are the ingredients of e0 or e1	SW.filter entity-en.ingredient SW.reverse string-requires string-= SW.concat
what recipe is cooked faster than e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-cooking_time  string-< ( SW.ensureNumericEntity SW.getProperty e0 string-cooking_time  )
for what meal is e0 used for	SW.filter entity-en.meal SW.reverse string-meal string-= e0
what is the average time needed for the preparation of the dish	string-avg SW.getProperty entity-en.recipe string-cooking_time
what recipe has the latest date posted	SW.superlative entity-en.recipe string-max SW.ensureNumericProperty string-posting_date
show me recipes with cooking time equal to or greater than cooking time for e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-cooking_time  string->= ( SW.ensureNumericEntity SW.getProperty e0 string-cooking_time  )
recipe whose cooking time is not more than e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-cooking_time  string-<= ( SW.ensureNumericEntity SW.getProperty e0 string-cooking_time  )
what is the prep time for e0	SW.getProperty e0 string-preparation_time
what is a recipe found in two or more cuisines	SW.countComparative entity-en.recipe string-cuisine string->= number2
what recipe requires at the least two ingredients	SW.countComparative entity-en.recipe string-requires string->= number2 entity-en.ingredient
what recipe was posted after e0 recipe	SW.filter entity-en.recipe SW.ensureNumericProperty string-posting_date  string-> ( SW.ensureNumericEntity SW.getProperty e0 string-posting_date  )
which meal had two recipes or more	SW.countComparative entity-en.meal SW.reverse string-meal string-> number2 entity-en.recipe
show me recipes that can be used for two meals	SW.countComparative entity-en.recipe string-meal string-= number2 entity-en.meal
which recipe has the same cooking time of e0	SW.filter entity-en.recipe string-preparation_time string-= SW.getProperty e0 string-cooking_time
what recipe posted in d0 makes a e0 meal	SW.filter ( SW.filter entity-en.recipe string-posting_date string-= d0 ) string-meal string-= e0
which recipe has the least number of meals	SW.countSuperlative entity-en.recipe string-min string-meal entity-en.meal
e0 or e1	SW.concat
what meal has the least recipes	SW.countSuperlative entity-en.meal string-min SW.reverse string-meal entity-en.recipe
what meal has maximum recipes	SW.countComparative entity-en.meal SW.reverse string-meal string-<= number2 entity-en.recipe
show me recipes that take the same amount of time to prepare as e0 does to cook	SW.filter entity-en.recipe string-preparation_time string-= SW.getProperty e0 string-cooking_time
name ingredients that is not required for e0	SW.filter entity-en.ingredient SW.reverse string-requires string-!= e0
which recipe  s cooking time is equal to that of e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-preparation_time  string-<= ( SW.ensureNumericEntity SW.getProperty e0 string-cooking_time  )
find a meal with two recipes	SW.countComparative entity-en.meal SW.reverse string-meal string-= number2 entity-en.recipe
for which meal is that recipe that has e0 as one of its ingredients	SW.filter entity-en.meal SW.reverse string-meal string-= ( SW.filter entity-en.recipe string-requires string-= e0 )
what recipe can you prep in the same or more time as it takes to cook e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-preparation_time  string->= ( SW.ensureNumericEntity SW.getProperty e0 string-cooking_time  )
which recipes were posted after d0	SW.filter entity-en.recipe SW.ensureNumericProperty string-posting_date  string-> ( SW.ensureNumericEntity d0 )
which recipes were posted up to d0	SW.filter entity-en.recipe SW.ensureNumericProperty string-posting_date  string-<= ( SW.ensureNumericEntity d0 )
find a e0 recipe that is prepared with e1	SW.filter ( SW.filter entity-en.recipe string-requires string-= e1 ) string-meal string-= e0
show me a recipe that has a posting date of at least d0	SW.filter entity-en.recipe SW.ensureNumericProperty string-posting_date  string->= ( SW.ensureNumericEntity d0 )
what is a meal that incorporates e0	SW.filter ( SW.filter entity-en.meal SW.reverse string-meal string-= e0 ) SW.reverse string-meal string-= e0
which meal has the least recipes dedicated to it	SW.countSuperlative entity-en.meal string-min SW.reverse string-meal entity-en.recipe
what is a recipe that takes no more time to cook than e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-cooking_time  string-<= ( SW.ensureNumericEntity SW.getProperty e0 string-cooking_time  )
name a recipe which was posted on or later than the posting date of the e0 recipe	SW.filter entity-en.recipe SW.ensureNumericProperty string-posting_date  string->= ( SW.ensureNumericEntity SW.getProperty e0 string-posting_date  )
recipe prepared in more time than cooking time of e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-preparation_time  string-> ( SW.ensureNumericEntity SW.getProperty e0 string-cooking_time  )
what recipe requires three or more ingredients	SW.countComparative entity-en.recipe string-requires string-> number2 entity-en.ingredient
show me recipes that take the same amount of time or more to cook as e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-cooking_time  string->= ( SW.ensureNumericEntity SW.getProperty e0 string-cooking_time  )
which recipes require the least amount of ingredients	SW.countSuperlative entity-en.recipe string-min string-requires entity-en.ingredient
how many meals does this make	.size entity-en.meal
which recipe takes the least amount of time to prepare	SW.superlative entity-en.recipe string-min SW.ensureNumericProperty string-preparation_time
ingredients not required to prepare e0	SW.filter entity-en.ingredient SW.reverse string-requires string-!= e0
which ingredient is needed by e0 or e1	SW.filter entity-en.ingredient SW.reverse string-requires string-= SW.concat
which recipe is intended for the least number of meals	SW.countSuperlative entity-en.recipe string-min string-meal entity-en.meal
a e0 recipe posted in d1	SW.filter ( SW.filter entity-en.recipe string-meal string-= e0 ) string-posting_date string-= d1
which is the last posted recipe	SW.superlative entity-en.recipe string-max SW.ensureNumericProperty string-posting_date
what recipe serves at the most three	SW.countSuperlative entity-en.recipe string-max string-meal entity-en.meal
what recipe needs e0 and is for e1	SW.filter ( SW.filter entity-en.recipe string-requires string-= e0 ) string-meal string-= e1
what recipe was posted in either d0 or d1	SW.filter entity-en.recipe string-posting_date string-= SW.concat
recipe in least cuisines	SW.countSuperlative entity-en.recipe string-min string-cuisine
show me recipes from the same cuisine as e0	SW.filter entity-en.recipe string-cuisine string-= SW.getProperty e0 string-cuisine
what meal has the most number of recipes	SW.countSuperlative entity-en.meal string-max SW.reverse string-meal entity-en.recipe
what is the cooking time of e0	SW.getProperty e0 string-cooking_time
recipes that require same time to prepare than e0	SW.filter entity-en.recipe string-preparation_time string-= SW.getProperty e0 string-preparation_time
show me recipes that require less than two ingredients	SW.countComparative entity-en.ingredient SW.reverse string-requires string-< number2 entity-en.recipe
show me the oldest recipe	SW.superlative entity-en.recipe string-min SW.ensureNumericProperty string-posting_date
which recipes fall under more than two cuisines	SW.countComparative entity-en.recipe string-cuisine string-> number2
which recipe was posted the earliest	SW.superlative entity-en.recipe string-min SW.ensureNumericProperty string-posting_date
what recipe requires more prep time than e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-preparation_time  string-> ( SW.ensureNumericEntity SW.getProperty e0 string-preparation_time  )
a recipe with e0 posted in d1	SW.filter ( SW.filter entity-en.recipe string-posting_date string-= d1 ) string-requires string-= e0
either e0 or e1	SW.concat
show the recipe that takes the longest time to cook	SW.superlative entity-en.recipe string-max SW.ensureNumericProperty string-cooking_time
what recipe doesnt require e0	SW.filter entity-en.recipe string-requires string-!= e0
what ingrediant is used in the fewest recipes	SW.countSuperlative entity-en.ingredient string-min SW.reverse string-requires entity-en.recipe
tell recipes with e0 for e1	SW.filter ( SW.filter entity-en.recipe string-meal string-= e1 ) string-requires string-= e0
how long does the recipe take to cook	string-sum SW.getProperty entity-en.recipe string-cooking_time
what recipe requiring e0 makes a e1 meal	SW.filter ( SW.filter entity-en.recipe string-meal string-= e1 ) string-requires string-= e0
what is the average cooking time for that recipe	string-avg SW.getProperty entity-en.recipe string-cooking_time
show recipes that could be used in any meal	SW.countComparative entity-en.recipe string-meal string-> number2 entity-en.meal
what recipe requires less prep time than e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-preparation_time  string-< ( SW.ensureNumericEntity SW.getProperty e0 string-preparation_time  )
what is an ingredient found in a e0 recipe	SW.filter entity-en.ingredient SW.reverse string-requires string-= ( SW.filter entity-en.recipe string-meal string-= e0 )
which recipes were posted in d0 for e0	SW.filter ( SW.filter entity-en.recipe string-meal string-= e0 ) string-posting_date string-= d0
show me recipes posted after d0	SW.filter entity-en.recipe SW.ensureNumericProperty string-posting_date  string-> ( SW.ensureNumericEntity SW.concat )
which recipe has a larger cooking time than the preparation time needed for e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-cooking_time  string-> ( SW.ensureNumericEntity SW.getProperty e0 string-preparation_time  )
recipe for only one meal	SW.countComparative entity-en.recipe string-meal string-< number2 entity-en.meal
show me recipes that requires the most time to prepare the dish	SW.superlative entity-en.recipe string-max SW.ensureNumericProperty string-preparation_time
what recipe was posted the earliest	SW.superlative entity-en.recipe string-min SW.ensureNumericProperty string-posting_date
show me recipes posted before d0 or before d1	SW.filter entity-en.recipe SW.ensureNumericProperty string-posting_date  string-< ( SW.ensureNumericEntity SW.concat )
what recipes have the same or longer preparation time as e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-preparation_time  string->= ( SW.ensureNumericEntity SW.getProperty e0 string-preparation_time  )
what ingredient is in than two recipes	SW.countComparative entity-en.ingredient SW.reverse string-requires string-> number2 entity-en.recipe
what recipes can be prepared faster than e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-preparation_time  string-< ( SW.ensureNumericEntity SW.getProperty e0 string-cooking_time  )
is the recipe for e0 or e1	SW.concat
what meal has two or fewer recipes designated for it	SW.countComparative entity-en.meal SW.reverse string-meal string-<= number2 entity-en.recipe
show me recipes requiring two or fewer ingredients	SW.countComparative entity-en.recipe string-requires string-<= number2 entity-en.ingredient
which meal has two or more recipes	SW.countComparative entity-en.meal SW.reverse string-meal string->= number2 entity-en.recipe
which recipe needs the longest preparation tome	SW.superlative entity-en.recipe string-max SW.ensureNumericProperty string-preparation_time
what is a meal with no more than two recipes	SW.countComparative entity-en.meal SW.reverse string-meal string-<= number2 entity-en.recipe
find me the recipes need more than one ingredients	SW.countComparative entity-en.recipe string-requires string->= number2 entity-en.ingredient
show me recipes with posting dates from d0 or later	SW.filter entity-en.recipe SW.ensureNumericProperty string-posting_date  string->= ( SW.ensureNumericEntity SW.concat )
find recipes posted in d0 or d1	SW.filter entity-en.recipe string-posting_date string-= SW.concat
show me recipes with cooking times equal to cooking time of e0	SW.filter entity-en.recipe string-cooking_time string-= SW.getProperty e0 string-cooking_time
what recipes require e0 and are for e1	SW.filter ( SW.filter entity-en.recipe string-meal string-= e1 ) string-requires string-= e0
which meal has the least number of recipes	SW.countSuperlative entity-en.meal string-min SW.reverse string-meal entity-en.recipe
show me recipe which take as much time as e0	SW.filter entity-en.recipe string-preparation_time string-= SW.getProperty e0 string-cooking_time
which recipes need two ingredients	SW.countComparative entity-en.recipe string-requires string-= number2 entity-en.ingredient
which recipe was posted the earliest	SW.superlative entity-en.recipe string-min SW.ensureNumericProperty string-posting_date
find a recipe that was posted  by d0	SW.filter entity-en.recipe SW.ensureNumericProperty string-posting_date  string->= ( SW.ensureNumericEntity d0 )
show recipes that requires at most the preparation time of e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-preparation_time  string-<= ( SW.ensureNumericEntity SW.getProperty e0 string-cooking_time  )
which recipe is posted after the posting date of e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-posting_date  string-> ( SW.ensureNumericEntity SW.getProperty e0 string-posting_date  )
show me recipes that has e0 as one of its ingredients	SW.filter entity-en.recipe string-requires string-= e0
show me e0 recipes that posted in d1	SW.filter ( SW.filter entity-en.recipe string-posting_date string-= d1 ) string-meal string-= e0
recipes prepared in e0 cooking time	SW.filter entity-en.recipe string-preparation_time string-= SW.getProperty e0 string-cooking_time
which recipes can be used for most number of meals	SW.countSuperlative entity-en.recipe string-max string-meal entity-en.meal
what is a recipe from no more than two different cuisines	SW.countComparative entity-en.recipe string-cuisine string-<= number2
name ingredients used only in one or two recipes	SW.countComparative entity-en.ingredient SW.reverse string-requires string-<= number2 entity-en.recipe
name ingredients used in more than one recipe	SW.countComparative entity-en.ingredient SW.reverse string-requires string-= number2 entity-en.recipe
what is an ingredient used in more than two recipes	SW.countComparative entity-en.ingredient SW.reverse string-requires string-> number2 entity-en.recipe
show me recipes for e0 or e1	SW.concat
how many meals are there	.size entity-en.meal
show me a recipe for the least number of meals	SW.countSuperlative entity-en.recipe string-min string-meal entity-en.meal
show me recipes requiring e0	SW.filter ( SW.filter entity-en.recipe string-requires string-= e0 ) string-requires string-= e0
show me recipe that require longer time to cook than e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-cooking_time  string-> ( SW.ensureNumericEntity SW.getProperty e0 string-cooking_time  )
what recipe was posted in d0 and needs e0	SW.filter ( SW.filter entity-en.recipe string-posting_date string-= d0 ) string-requires string-= e0
show me recipes not for e0	SW.filter entity-en.recipe string-meal string-!= e0
show me recipes that take less time to prepare than e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-cooking_time  string-< ( SW.ensureNumericEntity SW.getProperty e0 string-preparation_time  )
what ingredient is required in either e0 or e1	SW.filter entity-en.ingredient SW.reverse string-requires string-= SW.concat
find recipe that needs the maximum number of food items	SW.countSuperlative entity-en.recipe string-max string-requires entity-en.ingredient
show me meals with fewer than two recipes	SW.countComparative entity-en.meal SW.reverse string-meal string-< number2 entity-en.recipe
which recipes are not for e0	SW.filter entity-en.recipe string-meal string-!= e0
show recipes posted in d0 and has e0 as one of its ingredients	SW.filter ( SW.filter entity-en.recipe string-requires string-= e0 ) string-posting_date string-= d0
what recipes cooking time is at least the preparation time of e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-cooking_time  string->= ( SW.ensureNumericEntity SW.getProperty e0 string-preparation_time  )
what is a recipe from the same cuisine as e0	SW.filter entity-en.recipe string-cuisine string-= SW.getProperty e0 string-cuisine
how many total recipes are there	.size entity-en.recipe
show me meal with less than two recipe	SW.countComparative entity-en.meal SW.reverse string-meal string-< number2 entity-en.recipe
show me recipes with the most preparation time	SW.superlative entity-en.recipe string-max SW.ensureNumericProperty string-preparation_time
what e0 recipes contain e1	SW.filter ( SW.filter entity-en.recipe string-requires string-= e1 ) string-meal string-= e0
show me recipes posted in d0 and d1	SW.filter entity-en.recipe string-posting_date string-= SW.concat
how long does this recipe take to cook	string-sum SW.getProperty entity-en.recipe string-cooking_time
show recipes that require at the most time as e0 preparation	SW.filter entity-en.recipe SW.ensureNumericProperty string-cooking_time  string-<= ( SW.ensureNumericEntity SW.getProperty e0 string-preparation_time  )
show me recipes that take less time to cook than it takes to prepare e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-cooking_time  string-< ( SW.ensureNumericEntity SW.getProperty e0 string-preparation_time  )
what ingredient is found in e0	SW.filter entity-en.recipe string-requires string-= ( SW.filter entity-en.ingredient SW.reverse string-requires string-= e0 )
which recipe was posted most recently	SW.superlative entity-en.recipe string-max SW.ensureNumericProperty string-posting_date
find a recipe that is good for e0 or e1	SW.filter entity-en.recipe string-meal string-= SW.concat
what recipes posting date is in d0 and what ingredients does it require	SW.filter entity-en.ingredient SW.reverse string-requires string-= ( SW.filter entity-en.recipe string-posting_date string-= d0 )
how much time it takes to prepare recipe	string-sum SW.getProperty entity-en.recipe string-preparation_time
show me recipes with a preparation time equal to the cooking time of e0	SW.filter entity-en.recipe string-preparation_time string-= SW.getProperty e0 string-cooking_time
what meal is the recipe e0 for	SW.filter entity-en.recipe string-meal string-= ( SW.filter entity-en.meal SW.reverse string-meal string-= e0 )
what is the average preparation time across all recipes	string-avg SW.getProperty entity-en.recipe string-preparation_time
which recipe requires the same ingredient as e0	SW.filter entity-en.recipe string-requires string-= ( SW.filter entity-en.ingredient SW.reverse string-requires string-= e0 )
what recipes cooking time is the same as e0	SW.filter entity-en.recipe string-cooking_time string-= SW.getProperty e0 string-cooking_time
ingredients in recipe posted in d0	SW.filter entity-en.ingredient SW.reverse string-requires string-= ( SW.filter entity-en.recipe string-posting_date string-= d0 )
show me recipe to do a meal for a single person	SW.countSuperlative entity-en.recipe string-min string-meal entity-en.meal
show me recipes that take as long to prepare as e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-preparation_time  string-<= ( SW.ensureNumericEntity SW.getProperty e0 string-preparation_time  )
show me e0 recipes that need e1	SW.filter ( SW.filter entity-en.recipe string-requires string-= e1 ) string-meal string-= e0
show me recipes that require e0 or e1	SW.filter entity-en.recipe string-requires string-= SW.concat
what recipe makes two types of cuisine	SW.countComparative entity-en.recipe string-cuisine string-= number2
what recipe cooks in more or the same time as e0 takes to prep	SW.filter entity-en.recipe SW.ensureNumericProperty string-cooking_time  string->= ( SW.ensureNumericEntity SW.getProperty e0 string-preparation_time  )
what recipe is for two meals	SW.countComparative entity-en.recipe string-meal string->= number2 entity-en.meal
recipes that requires the same or more time to prepare as e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-preparation_time  string->= ( SW.ensureNumericEntity SW.getProperty e0 string-cooking_time  )
an ingredient required by at least two recipes	SW.countComparative entity-en.ingredient SW.reverse string-requires string->= number2 entity-en.recipe
show me recipes posted in d0 that use e0	SW.filter ( SW.filter entity-en.recipe string-posting_date string-= d0 ) string-requires string-= e0
recipes posted after d0	SW.filter entity-en.recipe SW.ensureNumericProperty string-posting_date  string-> ( SW.ensureNumericEntity d0 )
how much time is needed to cook this dish	string-sum SW.getProperty entity-en.recipe string-cooking_time
which recipe is prepared using the same amount of time as that of e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-preparation_time  string->= ( SW.ensureNumericEntity SW.getProperty e0 string-preparation_time  )
what recipes preparation time is at least that of e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-preparation_time  string->= ( SW.ensureNumericEntity SW.getProperty e0 string-preparation_time  )
name the recipe with a cooking time with at least the cooking time of e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-cooking_time  string->= ( SW.ensureNumericEntity SW.getProperty e0 string-cooking_time  )
what recipes have the same or less preparation time as e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-preparation_time  string-<= ( SW.ensureNumericEntity SW.getProperty e0 string-preparation_time  )
find recipes for all kinds of meals	SW.countSuperlative entity-en.recipe string-max string-meal entity-en.meal
what recipes cooking time is greater than that of e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-cooking_time  string-> ( SW.ensureNumericEntity SW.getProperty e0 string-cooking_time  )
what is the cuisine of e0	SW.getProperty e0 string-cuisine
recipes with more preparation time than e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-preparation_time  string-> ( SW.ensureNumericEntity SW.getProperty e0 string-preparation_time  )
what meal can be made by the recipe posted in d0	SW.filter entity-en.meal SW.reverse string-meal string-= ( SW.filter entity-en.recipe string-posting_date string-= d0 )
find recipes that can be used for  more than two meals	SW.countComparative entity-en.recipe string-meal string-> number2 entity-en.meal
what recipe is fastest cooked	SW.superlative entity-en.recipe string-min SW.ensureNumericProperty string-cooking_time
what type of cuisine is e0	SW.getProperty e0 string-cuisine
are there any recipes which were posted twice in d0	SW.filter ( SW.filter entity-en.recipe string-posting_date string-= d0 ) string-posting_date string-= d0
what recipes have a cooking time that is at least as long as e0 preparation time	SW.filter entity-en.recipe SW.ensureNumericProperty string-cooking_time  string->= ( SW.ensureNumericEntity SW.getProperty e0 string-preparation_time  )
what recipes posting date is at most d0 or d1	SW.filter entity-en.recipe SW.ensureNumericProperty string-posting_date  string-<= ( SW.ensureNumericEntity SW.concat )
what meal doesnt call for e0	SW.filter entity-en.meal SW.reverse string-meal string-!= e0
when is e0 recipe posted	SW.getProperty e0 string-posting_date
what recipe requires highest number of ingredients	SW.countSuperlative entity-en.recipe string-max string-requires entity-en.ingredient
which recipes can make two meals	SW.countComparative entity-en.recipe string-meal string-= number2 entity-en.meal
show me recipes that posted no later than the e0 recipe	SW.filter entity-en.recipe SW.ensureNumericProperty string-posting_date  string-<= ( SW.ensureNumericEntity SW.getProperty e0 string-posting_date  )
show recipes with e0 as an ingredient and is posted in d1	SW.filter ( SW.filter entity-en.recipe string-posting_date string-= d1 ) string-requires string-= e0
what is the newest recipe	SW.superlative entity-en.recipe string-max SW.ensureNumericProperty string-posting_date
how long does it take to  make e0	SW.getProperty e0 string-cooking_time
what recipes require e0	SW.filter ( SW.filter entity-en.recipe string-requires string-= e0 ) string-requires string-= e0
which recipe has the shortest ingredient list	SW.countSuperlative entity-en.recipe string-min string-requires entity-en.ingredient
what recipes share the cuisine of e0	SW.filter entity-en.recipe string-cuisine string-= SW.getProperty e0 string-cuisine
show recipes whose cooking time is same as that of e0	SW.filter entity-en.recipe string-cooking_time string-= SW.getProperty e0 string-preparation_time
which recipe has the shortest preparation time	SW.superlative entity-en.recipe string-min SW.ensureNumericProperty string-preparation_time
either d0 or d1	SW.concat
what recipe cooks in less time than e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-cooking_time  string->= ( SW.ensureNumericEntity SW.getProperty e0 string-cooking_time  )
find recipes that were posted before d0 or d1	SW.filter entity-en.recipe SW.ensureNumericProperty string-posting_date  string-< ( SW.ensureNumericEntity SW.concat )
what recipes require the same ingredients as e0	SW.filter entity-en.recipe string-requires string-= ( SW.filter entity-en.ingredient SW.reverse string-requires string-= e0 )
what recipe requires e0 or e1	SW.filter entity-en.recipe string-requires string-= SW.concat
what ingredient is used for the least amount of recipes	SW.countSuperlative entity-en.ingredient string-min SW.reverse string-requires entity-en.recipe
