units that have a private room	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-has_private_room
need a unit with a private room in the e0 area	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-neighborhood string-= e0
units with larger rent than e0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-rent  string-> ( SW.ensureNumericEntity SW.getProperty e0 string-rent  )
housing units with 2 neighborhoods	SW.countComparative entity-en.housing_unit string-neighborhood string-= number2
find housing units with size lesser than 800 square feet	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string-< ( SW.ensureNumericEntity number800 en.square_feet )
800 square feet housing unit with a private bath	SW.filter ( SW.filter entity-en.housing_unit string-size string-= number800 en.square_feet ) string-has_private_bath
which housing unit is available for the least rent	SW.superlative entity-en.housing_unit string-min SW.ensureNumericProperty string-rent
housing unit in west midtown posted on d0	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= d0 ) string-neighborhood string-= en.neighborhood.midtown_west
how many neighborhoods	.size entity-en.neighborhood
which neighborhoods have housing where dogs are allowed	SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= ( SW.filter entity-en.housing_unit string-allows_dogs )
which housing unit has a rent of 1500 dollars or 2000 dollars per month	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-rent  string-> ( SW.ensureNumericEntity SW.concat )
housing unit smaller than 800 square feet	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string-< ( SW.ensureNumericEntity number800 en.square_feet )
what housing unit allowing cats was posted on jan 2	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= date:2015:1:2 ) string-allows_cats
units posted before january 2nd	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-posting_date  string-< ( SW.ensureNumericEntity date:2015:1:2 )
aparartment or e0 units	SW.filter entity-en.housing_unit string-housing_type string-= SW.concat
what are the rare housing types	SW.countSuperlative entity-en.housing string-min SW.reverse string-housing_type entity-en.housing_unit
housing unit bigger than 800 square feet	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string->= ( SW.ensureNumericEntity number800 en.square_feet )
800 square foot e0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string-<= ( SW.ensureNumericEntity number800 en.square_feet )
neighborhood of e0	SW.filter ( SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= e0 ) SW.reverse string-neighborhood string-= e0
specify the housing type of the housing unit that has a private bath	SW.filter entity-en.housing SW.reverse string-housing_type string-= ( SW.filter entity-en.housing_unit string-has_private_bath )
how large is the unit at e0	SW.getProperty e0 string-size
housing types in the e0	SW.filter entity-en.housing SW.reverse string-housing_type string-= ( SW.filter entity-en.housing_unit string-neighborhood string-= e0 )
housing unit that is an aprtment	SW.filter ( SW.filter entity-en.housing_unit string-housing_type string-= en.housing.apartment ) string-housing_type string-= en.housing.apartment
show me housing units that arent e0	SW.filter entity-en.housing_unit string-housing_type string-!= e0
what housing unit posted on jan 2 has the same rent as e0	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= date:2015:1:2 ) SW.reverse string-rent string-= e0
looking for a unit with a private bathroom and dog friendly	SW.filter ( SW.filter entity-en.housing_unit string-has_private_bath ) string-allows_dogs
what kinds of housing include a private room	SW.filter entity-en.housing SW.reverse string-housing_type string-= ( SW.filter entity-en.housing_unit string-has_private_room )
what kind of housing is available for 1500month	SW.filter entity-en.housing SW.reverse string-housing_type string-= ( SW.filter entity-en.housing_unit string-rent string-= number1500 en.dollar )
which housing unit in this neighbourhood has the facility of a private bath	SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= ( SW.filter entity-en.housing_unit string-has_private_bath )
show me housing with 800 square feet of space	SW.filter entity-en.housing_unit string-size string-= number800 en.square_feet
which housing unit has the least variety of houses	SW.countSuperlative entity-en.housing_unit string-min string-housing_type
housing unit with 2 types of housing	SW.countComparative entity-en.housing_unit string-housing_type string-< number2
what e0 housing unit has a private bath	SW.filter ( SW.filter entity-en.housing_unit string-neighborhood string-= e0 ) string-has_private_bath
what are the  units that  do  not belong to the area around e0	SW.filter entity-en.housing_unit string-neighborhood string-!= e0
housing unit that allows cats	SW.filter ( SW.filter entity-en.housing_unit string-allows_cats ) string-allows_cats
e0 with a private bath	SW.filter ( SW.filter entity-en.housing_unit string-housing_type string-= e0 ) string-has_private_bath
e0 that allow dogs	SW.filter ( SW.filter entity-en.housing_unit string-housing_type string-= e0 ) string-allows_dogs
neighborhood with the most housing units	SW.countSuperlative entity-en.neighborhood string-max SW.reverse string-neighborhood entity-en.housing_unit
housing type posted d0	SW.filter entity-en.housing SW.reverse string-housing_type string-= ( SW.filter entity-en.housing_unit string-posting_date string-= d0 )
which housing consists of two units maximum	SW.countComparative entity-en.housing SW.reverse string-housing_type string-<= number2 entity-en.housing_unit
e0 renting for 1500 a month	SW.filter ( SW.filter entity-en.housing_unit string-rent string-= number1500 en.dollar ) string-housing_type string-= e0
800 foot e0 with a private room	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-size string-= number800 en.square_feet
housing that is 800 square feet or less or 1000 square feet or less	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string-<= ( SW.ensureNumericEntity SW.concat )
housing that is at least 800 square feet or at least 1000 square feet	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string->= ( SW.ensureNumericEntity SW.concat )
cat friendly e0 in e0	SW.filter ( SW.filter entity-en.housing_unit string-neighborhood string-= e0 ) string-allows_cats
what is the neighborhood  of the housing unit with the monthly rent 1500 dollars	SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= ( SW.filter entity-en.housing_unit string-rent string-= number1500 en.dollar )
what is the type of housing that has a private room	SW.filter entity-en.housing SW.reverse string-housing_type string-= ( SW.filter entity-en.housing_unit string-has_private_room )
housing unit with the smallest posting date	SW.superlative entity-en.housing_unit string-min SW.ensureNumericProperty string-posting_date
how many neighborhoods are in the city	.size entity-en.neighborhood
which housing unit has  the variety of houses	SW.countSuperlative entity-en.housing_unit string-max string-housing_type
housing that allows dogs and was posted on d0	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= d0 ) string-allows_dogs
housing posted before d0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-posting_date  string-< ( SW.ensureNumericEntity d0 )
which housing posted on the same date as e0	SW.filter entity-en.housing_unit string-posting_date string-= SW.getProperty e0 string-posting_date
what neighborhood is e0 in	SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= e0
which housing unit has the monthly rent of e0	SW.filter entity-en.housing_unit string-rent string-= SW.getProperty e0 string-rent
find 800 square feet sized housing in the neighborhoods of e0	SW.filter ( SW.filter entity-en.housing_unit string-size string-= number800 en.square_feet ) string-neighborhood string-= e0
housing units with one housing type	SW.countComparative entity-en.housing_unit string-housing_type string-< number2
a neighborhood with at most twohouse units	SW.countComparative entity-en.neighborhood SW.reverse string-neighborhood string-<= number2 entity-en.housing_unit
800 square foot unit with rent of 1500 monthly	SW.filter ( SW.filter entity-en.housing_unit string-rent string-= number1500 en.dollar ) string-size string-= number800 en.square_feet
what kinds of housing allow cats	SW.filter entity-en.housing SW.reverse string-housing_type string-= ( SW.filter entity-en.housing_unit string-allows_cats )
find housing between 800 and 1000 square feet	SW.filter entity-en.housing_unit string-size string-= SW.concat
e0 posted on d0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-posting_date  string-<= ( SW.ensureNumericEntity d0 )
what is the average find 800 square feet housing units that allow cats	string-avg SW.getProperty entity-en.housing_unit string-size
e0 that were posted on d1	SW.filter ( SW.filter entity-en.housing_unit string-housing_type string-= e0 ) string-posting_date string-= d1
show me the housing with the most space available	SW.superlative entity-en.housing_unit string-max SW.ensureNumericProperty string-size
what are the housing units in the area around e0	SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= ( SW.filter entity-en.housing_unit string-neighborhood string-= e0 )
what e0 housing allows cats	SW.filter ( SW.filter entity-en.housing_unit string-allows_cats ) string-neighborhood string-= e0
e0 or e1	SW.filter entity-en.housing_unit string-housing_type string-= SW.concat
which is the neighborhood shared by most nuumber of housing units	SW.countSuperlative entity-en.neighborhood string-max SW.reverse string-neighborhood entity-en.housing_unit
housing not posted on d0	SW.filter entity-en.housing_unit string-posting_date string-!= d0
find housing units around the neighborhoods of e0	SW.filter entity-en.housing_unit string-neighborhood string-= SW.getProperty e0 string-neighborhood
show me housing in e0 where rent is 1500 dollars a month	SW.filter ( SW.filter entity-en.housing_unit string-neighborhood string-= e0 ) string-rent string-= number1500 en.dollar
which housing unit has a private room	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-has_private_room
what neighborhood is e0 in	SW.getProperty e0 string-neighborhood
which housing unit has 1500 dollars as monthly rent	SW.filter entity-en.housing_unit string-rent string-= number1500 en.dollar
which housing unit is in the area of e0 or e1	SW.filter entity-en.housing_unit string-neighborhood string-= SW.concat
what kind of housing is e0	SW.getProperty e0 string-housing_type
how much a month is the rent at e0	SW.getProperty e0 string-rent
housing e0 with a private bath	SW.filter ( SW.filter entity-en.housing_unit string-has_private_bath ) string-housing_type string-= e0
find housing units in the same housing type of e0	SW.filter entity-en.housing_unit string-housing_type string-= SW.getProperty e0 string-housing_type
which housing unit is smaller than 800 square feet or 1000 square feet by area	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string-< ( SW.ensureNumericEntity SW.concat )
housing that allows cats and includes a private room	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-allows_cats
what type of housing is e0	SW.filter entity-en.housing SW.reverse string-housing_type string-= e0
housing not in e0	SW.filter entity-en.housing_unit string-neighborhood string-!= e0
housing found in less than two neighborhoods	SW.countComparative entity-en.housing_unit string-neighborhood string-< number2
find housing units with posting date between january 2nd and february 3rd	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-posting_date  string-<= ( SW.ensureNumericEntity SW.concat )
a unit with a private bath that posted on d0	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= d0 ) string-has_private_bath
which housing unit has an e0 kind of house	SW.filter entity-en.housing SW.reverse string-housing_type string-= ( SW.filter entity-en.housing_unit string-housing_type string-= e0 )
e0 that is the same size are e0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string->= ( SW.ensureNumericEntity SW.getProperty e0 string-size  )
which housing unit permits cats in it	SW.filter entity-en.housing_unit string-allows_cats
what neighborhoods have units with 800 square feet	SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= ( SW.filter entity-en.housing_unit string-size string-= number800 en.square_feet )
neighborhood with the most available housing	SW.countSuperlative entity-en.neighborhood string-max SW.reverse string-neighborhood entity-en.housing_unit
what is the other areas around e0 that has housing units	SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= ( SW.filter entity-en.housing_unit string-neighborhood string-= e0 )
housing posted before e0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-posting_date  string-< ( SW.ensureNumericEntity SW.getProperty e0 string-posting_date  )
housing with posting dates before january 2nd and february 3rd	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-posting_date  string-< ( SW.ensureNumericEntity SW.concat )
looking for a quiet neighborhood	SW.countSuperlative entity-en.neighborhood string-min SW.reverse string-neighborhood entity-en.housing_unit
what housing is the same type as the housing posted on d0	SW.filter entity-en.housing SW.reverse string-housing_type string-= ( SW.filter entity-en.housing_unit string-posting_date string-= d0 )
housing unit that is not 800 square feet	SW.filter entity-en.housing_unit string-size string-!= number800 en.square_feet
e0 in the e0 or e1 neighborhoods	SW.filter entity-en.housing_unit string-neighborhood string-= SW.concat
housing units that are e0	SW.filter entity-en.housing_unit string-housing_type string-= e0
housing unit with a cheaper rent than e0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-rent  string-< ( SW.ensureNumericEntity SW.getProperty e0 string-rent  )
housing unit with a private bath and cost 1500 dollars rent	SW.filter ( SW.filter entity-en.housing_unit string-has_private_bath ) string-rent string-= number1500 en.dollar
which housing unit does not belong to the e0 type with a monthly rent of 1500 dollars	SW.filter ( SW.filter entity-en.housing_unit string-rent string-= number1500 en.dollar ) string-housing_type string-= e0
what housing unit allowing dogs was posted on jan 2	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= date:2015:1:2 ) string-allows_dogs
which housing unit has e0 kind of houses with an area of 800 square feet	SW.filter ( SW.filter entity-en.housing_unit string-housing_type string-= e0 ) string-size string-= number800 en.square_feet
posting with at least two types of housing	SW.countComparative entity-en.housing_unit string-housing_type string->= number2
which housing unit has more than two kinds of houses	SW.countComparative entity-en.housing SW.reverse string-housing_type string-> number2 entity-en.housing_unit
housing that is 800 square feet or less	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string-<= ( SW.ensureNumericEntity number800 en.square_feet )
find housing units with rental charges between 1500 to 2000 dollars	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-rent  string->= ( SW.ensureNumericEntity SW.concat )
800 square food housing units that have private baths	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-size string-= number800 en.square_feet
find housing units less than 1000  square feet	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string-<= ( SW.ensureNumericEntity SW.concat )
when was e0 posted	SW.getProperty e0 string-posting_date
list all housing that is smaller than 800 square feet	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string-< ( SW.ensureNumericEntity number800 en.square_feet )
e0 in the e1 neighborhood	SW.filter ( SW.filter entity-en.housing_unit string-housing_type string-= e0 ) string-neighborhood string-= e1
e0 with rent between 1500 and 2000	SW.filter entity-en.housing_unit string-rent string-= SW.concat
find housing units with size greater than 800 square feet	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string-> ( SW.ensureNumericEntity number800 en.square_feet )
what is the date of the e0 posting	SW.getProperty e0 string-posting_date
800 square feet housing that allows dogs	SW.filter ( SW.filter entity-en.housing_unit string-allows_dogs ) string-size string-= number800 en.square_feet
neighborhood with at most two housing	SW.countComparative entity-en.neighborhood SW.reverse string-neighborhood string-<= number2 entity-en.housing_unit
how many housing units are there	.size entity-en.housing_unit
unit with private bath	SW.filter entity-en.housing SW.reverse string-housing_type string-= ( SW.filter entity-en.housing_unit string-has_private_bath )
which housing unit has a rent of 1500 dollars per month	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-rent  string-<= ( SW.ensureNumericEntity number1500 en.dollar )
housing that is less than 800 square feet	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string-< ( SW.ensureNumericEntity number800 en.square_feet )
housing that is at least as expensive as e0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-rent  string->= ( SW.ensureNumericEntity SW.getProperty e0 string-rent  )
find 800 square feet housing units that are cat friendly	SW.filter ( SW.filter entity-en.housing_unit string-allows_cats ) string-size string-= number800 en.square_feet
find housing units in the neighborhoods of e0	SW.filter ( SW.filter entity-en.housing_unit string-neighborhood string-= e0 ) string-neighborhood string-= e0
which is the housing unit that permits dogs inside it	SW.filter ( SW.filter entity-en.housing_unit string-allows_dogs ) string-allows_dogs
housing unit near e0	SW.filter entity-en.housing_unit string-neighborhood string-= e0
neighborhood with more than two housing units	SW.countComparative entity-en.neighborhood SW.reverse string-neighborhood string-> number2 entity-en.housing_unit
find housing unit with the latest posting date	SW.superlative entity-en.housing_unit string-min SW.ensureNumericProperty string-posting_date
housing posted the same day or after e0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-posting_date  string->= ( SW.ensureNumericEntity SW.getProperty e0 string-posting_date  )
which housing unit is posted lately	SW.superlative entity-en.housing_unit string-min SW.ensureNumericProperty string-posting_date
housing that was posted after d0 or d1	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-posting_date  string-> ( SW.ensureNumericEntity SW.concat )
housing units that have more than two neighborhoods	SW.countComparative entity-en.housing_unit string-neighborhood string-> number2
find cat friendly housing units with a private bath	SW.filter ( SW.filter entity-en.housing_unit string-allows_cats ) string-has_private_bath
housing in e0 with a private room	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-neighborhood string-= e0
what housing unit is in the same neighborhood as the unit posted on jan 2	SW.filter entity-en.housing_unit string-neighborhood string-= ( SW.filter entity-en.housing_unit string-posting_date string-= date:2015:1:2 )
what kind of housing are the two housing units	SW.countComparative entity-en.housing SW.reverse string-housing_type string-= number2 entity-en.housing_unit
what housing unit posted on jan 2 is in e0	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= date:2015:1:2 ) string-neighborhood string-= e0
units larger than 800 square feet	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string-> ( SW.ensureNumericEntity SW.concat )
what neighborhood has the least amount of housing	SW.countSuperlative entity-en.neighborhood string-min SW.reverse string-neighborhood entity-en.housing_unit
find 800 square feet housing units of the type e0	SW.filter ( SW.filter entity-en.housing_unit string-size string-= number800 en.square_feet ) string-housing_type string-= e0
housing with posting date of d0	SW.filter entity-en.housing SW.reverse string-housing_type string-= ( SW.filter entity-en.housing_unit string-posting_date string-= d0 )
housing unit with a private room and allows cats	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-allows_cats
housing that is bigger than e0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string-> ( SW.ensureNumericEntity SW.getProperty e0 string-size  )
which housing unit has e0 kind of house with an area of 800 square feet	SW.filter ( SW.filter entity-en.housing_unit string-size string-= number800 en.square_feet ) string-housing_type string-= e0
pet friendly housing near e0	SW.filter ( SW.filter entity-en.housing_unit string-neighborhood string-= e0 ) string-allows_cats
housing that is more than 1500month	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-rent  string-> ( SW.ensureNumericEntity number1500 en.dollar )
pet friendly housing with 1500 dollars as rent	SW.filter ( SW.filter entity-en.housing_unit string-allows_dogs ) string-rent string-= number1500 en.dollar
building with the least number of housing types	SW.countSuperlative entity-en.housing_unit string-min string-housing_type
find cat friendly housing units that charge 1500 dollars as rent	SW.filter ( SW.filter entity-en.housing_unit string-allows_cats ) string-rent string-= number1500 en.dollar
800 square foot e0 with private bathroom	SW.filter ( SW.filter entity-en.housing_unit string-size string-= number800 en.square_feet ) string-has_private_bath
housing that was posted on d0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-posting_date  string->= ( SW.ensureNumericEntity SW.concat )
building with two or less kinds of unis	SW.countComparative entity-en.housing_unit string-housing_type string-<= number2
which housing unit is in the area of e0	SW.filter entity-en.housing_unit string-neighborhood string-= ( SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= e0 )
which housing unit permits dogs and has the facility of a private bath	SW.filter ( SW.filter entity-en.housing_unit string-allows_dogs ) string-has_private_bath
housing that is the same size or bigger than e0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string->= ( SW.ensureNumericEntity SW.getProperty e0 string-size  )
e0 for rent below 1500	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-rent  string-<= ( SW.ensureNumericEntity number1500 en.dollar )
housing unit which is an e0 that is dogs friendly	SW.filter ( SW.filter entity-en.housing_unit string-allows_dogs ) string-housing_type string-= e0
housing posted on or before d0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-posting_date  string-<= ( SW.ensureNumericEntity d0 )
housing units of either 800 square feet or 1000 square feet	SW.concat
e0 with a master bathroom in e0 neighbourhood	SW.filter ( SW.filter entity-en.housing_unit string-neighborhood string-= e0 ) string-has_private_bath
housing that is not 1500month	SW.filter entity-en.housing_unit string-rent string-!= number1500 en.dollar
which housing unit offers a private bath	SW.filter ( SW.filter entity-en.housing_unit string-has_private_bath ) string-has_private_bath
housing posted on d0	SW.filter entity-en.housing SW.reverse string-housing_type string-= ( SW.filter entity-en.housing_unit string-posting_date string-= d0 )
housing allowing cats that was posted on d0	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= d0 ) string-allows_cats
a neighborhood with fewer than twohouse units	SW.countComparative entity-en.neighborhood SW.reverse string-neighborhood string-< number2 entity-en.housing_unit
housing posted on d0 around e0	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= d0 ) SW.reverse string-neighborhood string-= e0
e0 unit with 1500 rent monthly	SW.filter ( SW.filter entity-en.housing_unit string-rent string-= number1500 en.dollar ) string-neighborhood string-= e0
show housing types for three or more units	SW.countComparative entity-en.housing SW.reverse string-housing_type string-> number2 entity-en.housing_unit
e0 that permit cats	SW.filter ( SW.filter entity-en.housing_unit string-allows_cats ) string-housing_type string-= e0
what kind of housing is e0 and e1	SW.filter entity-en.housing SW.reverse string-housing_type string-= SW.concat
housing typical of e0 housing posted on d1	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= d1 ) SW.reverse string-size string-= e0
housing unit that costs 1500 dollars rent and allows dogs	SW.filter ( SW.filter entity-en.housing_unit string-rent string-= number1500 en.dollar ) string-allows_dogs
housing unit in e0 and allows dogs	SW.filter ( SW.filter entity-en.housing_unit string-neighborhood string-= e0 ) string-allows_dogs
housing in a neighborhood larger than two houses	SW.countComparative entity-en.neighborhood SW.reverse string-neighborhood string-> number2 entity-en.housing_unit
housing unit that both have a private room and allow dogs	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-allows_dogs
smallest available unit	SW.superlative entity-en.housing_unit string-min SW.ensureNumericProperty string-size
housing units that are 800 square feet and have private baths	SW.filter ( SW.filter entity-en.housing_unit string-size string-= number800 en.square_feet ) string-has_private_bath
which neighborhoods have dogfriendly housing	SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= ( SW.filter entity-en.housing_unit string-allows_dogs )
which housing posted jan 2nd permits dogs	SW.filter ( SW.filter entity-en.housing_unit string-allows_dogs ) string-posting_date string-= date:2015:1:2
housing unit with the same monthly rent as e0	SW.filter entity-en.housing_unit string-rent string-= SW.getProperty e0 string-rent
find housing units with private room near e0	SW.filter ( SW.filter entity-en.housing_unit string-neighborhood string-= e0 ) string-has_private_room
what housing has been posted lately	SW.superlative entity-en.housing_unit string-min SW.ensureNumericProperty string-posting_date
a housing unit with a private bath that posted on d0	SW.filter ( SW.filter entity-en.housing_unit string-has_private_bath ) string-posting_date string-= d0
housing in e0 neighborhood that was posted on d1	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= d1 ) SW.reverse string-neighborhood string-= e0
800 square foot e0 with a private room	SW.filter ( SW.filter entity-en.housing_unit string-size string-= number800 en.square_feet ) string-has_private_room
what housing unit has two or more housing types	SW.countComparative entity-en.housing_unit string-housing_type string-> number2
housing type on e0	SW.getProperty e0 string-housing_type
e0 complexes with the most units	SW.countSuperlative entity-en.housing_unit string-max string-housing_type
e0 that are dog friendly	SW.filter ( SW.filter entity-en.housing_unit string-allows_dogs ) string-allows_dogs
what is the average rent per month of a housing unit	string-avg SW.getProperty entity-en.housing_unit string-rent
800 square foot housing unit with a private room	SW.filter ( SW.filter entity-en.housing_unit string-size string-= number800 en.square_feet ) string-has_private_room
find 800 square feet sized housing units with a private room	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-size string-= number800 en.square_feet
housing that was posted after d0 or after d1	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-posting_date  string->= ( SW.ensureNumericEntity SW.concat )
where are 800 square fee housing units that allow dogs	SW.filter ( SW.filter entity-en.housing_unit string-size string-= number800 en.square_feet ) string-allows_dogs
800 square feet in e0	SW.filter ( SW.filter entity-en.housing_unit string-size string-= number800 en.square_feet ) string-neighborhood string-= e0
cheapest places to rent	SW.superlative entity-en.housing_unit string-min SW.ensureNumericProperty string-rent
which housing unit is available in the area around mid town west	SW.filter ( SW.filter entity-en.housing_unit string-neighborhood string-= en.neighborhood.midtown_west ) string-neighborhood string-= en.neighborhood.midtown_west
find housing with a private room and bath	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-has_private_bath
find housing units posted before or on the same date as e0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-posting_date  string-<= ( SW.ensureNumericEntity SW.getProperty e0 string-posting_date  )
exclude e0 from e0	SW.filter entity-en.housing_unit string-neighborhood string-!= e0
which housing unit has the highest rent per month	SW.superlative entity-en.housing_unit string-max SW.ensureNumericProperty string-rent
show me housing that is the same type as at least two others	SW.countComparative entity-en.housing SW.reverse string-housing_type string->= number2 entity-en.housing_unit
which housing unit has a monthly rent of less than 1500 dollars	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-rent  string-< ( SW.ensureNumericEntity number1500 en.dollar )
housing with any monthly rent posted on d0	SW.filter entity-en.housing_unit string-rent string-= ( SW.filter entity-en.housing_unit string-posting_date string-= d0 )
housing posted before d0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-posting_date  string-< ( SW.ensureNumericEntity d0 )
which housing unit permits cats inside it	SW.filter ( SW.filter entity-en.housing_unit string-allows_cats ) string-allows_cats
dogfriendly housing that is 800 square feet	SW.filter ( SW.filter entity-en.housing_unit string-size string-= number800 en.square_feet ) string-allows_dogs
housing at least 800 to 1000 square feet	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string-> ( SW.ensureNumericEntity SW.concat )
housing that is not an e0	SW.filter entity-en.housing_unit string-housing_type string-!= e0
housing with 1500 dollars rent that has a private bath	SW.filter ( SW.filter entity-en.housing_unit string-rent string-= number1500 en.dollar ) string-has_private_bath
what housing unit was posted on jan 2	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= date:2015:1:2 ) string-posting_date string-= date:2015:1:2
housing unit that allows dogs and cats	SW.filter ( SW.filter entity-en.housing_unit string-allows_dogs ) string-allows_cats
which housing unit has the most kind of houses	SW.countSuperlative entity-en.housing string-max SW.reverse string-housing_type entity-en.housing_unit
housing unit posted on d0 and that is the same size as e0	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= d0 ) SW.reverse string-size string-= e0
housing posted on january 2nd that allows dogs	SW.filter ( SW.filter entity-en.housing_unit string-allows_dogs ) string-posting_date string-= date:2015:1:2
all housing units posted on d0	SW.filter entity-en.housing_unit string-posting_date string-= ( SW.filter entity-en.housing_unit string-posting_date string-= d0 )
housing that was posted on d0	SW.filter entity-en.housing_unit string-posting_date string-= SW.concat
what is the housing type at e0	SW.filter entity-en.housing SW.reverse string-housing_type string-= e0
what is the housing type that allows cats	SW.filter entity-en.housing SW.reverse string-housing_type string-= ( SW.filter entity-en.housing_unit string-allows_cats )
housing unit within at most 2 neighborhoods	SW.countComparative entity-en.housing_unit string-neighborhood string-<= number2
which housing unit has a jan 2nd posting	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= date:2015:1:2 ) string-posting_date string-= date:2015:1:2
how large is e0	SW.getProperty e0 string-size
housing with private bath that was posted on d0	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= d0 ) string-has_private_bath
name housing types other than e0 type	SW.filter entity-en.housing SW.reverse string-housing_type string-!= e0
what housing is priced at 1500 or 2000 dollars	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-rent  string-<= ( SW.ensureNumericEntity SW.concat )
housing that is not 800 square feet	SW.filter entity-en.housing_unit string-size string-!= number800 en.square_feet
e0 with a private bathroom	SW.filter entity-en.housing SW.reverse string-housing_type string-= ( SW.filter entity-en.housing_unit string-has_private_bath )
find housing units that satisfies two housing types	SW.countComparative entity-en.housing_unit string-housing_type string-<= number2
housing e0 in a e1 neighborhood	SW.filter ( SW.filter entity-en.housing_unit string-neighborhood string-= e1 ) string-housing_type string-= e0
housing e0 that allows cats	SW.filter ( SW.filter entity-en.housing_unit string-allows_cats ) string-housing_type string-= e0
pet friendly housing unit	SW.filter ( SW.filter entity-en.housing_unit string-allows_cats ) string-allows_cats
e0 with rent that is more expensive than e0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-rent  string-> ( SW.ensureNumericEntity SW.getProperty e0 string-rent  )
find housing units with the least number of neighborhoods	SW.countSuperlative entity-en.housing_unit string-min string-neighborhood
